[2026-03-22 16:52:16] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_comparison_formal_20260322_165216\fair_init\uav_comparison_results.mat
[2026-03-22 17:47:51] DONE: Scene 2 | AE | run 23 | best=3184.314177 | time=6.858s
[2026-03-22 17:47:58] DONE: Scene 2 | AE | run 24 | best=310.851975 | time=6.843s
[2026-03-22 17:48:05] DONE: Scene 2 | AE | run 25 | best=2613.514831 | time=7.139s
[2026-03-22 17:48:12] DONE: Scene 2 | AE | run 26 | best=4803.938407 | time=7.154s
[2026-03-22 17:48:19] DONE: Scene 2 | AE | run 27 | best=1308.313053 | time=6.954s
[2026-03-22 17:48:26] DONE: Scene 2 | AE | run 28 | best=365.380944 | time=6.925s
[2026-03-22 17:48:33] DONE: Scene 2 | AE | run 29 | best=1698.205656 | time=6.872s
[2026-03-22 17:48:40] DONE: Scene 2 | AE | run 30 | best=314.380107 | time=6.840s
[2026-03-22 17:48:41] Block finished: Scene 2 | AE | done=30 | failed=0
[2026-03-22 17:48:41] Entering block: Scene 2 | PSO
[2026-03-22 17:48:47] DONE: Scene 2 | PSO | run 1 | best=366.178591 | time=6.754s
[2026-03-22 17:48:54] DONE: Scene 2 | PSO | run 2 | best=299.241854 | time=6.712s
[2026-03-22 17:49:01] DONE: Scene 2 | PSO | run 3 | best=455.209998 | time=6.717s
[2026-03-22 17:49:08] DONE: Scene 2 | PSO | run 4 | best=1095.377653 | time=6.826s
[2026-03-22 17:49:15] DONE: Scene 2 | PSO | run 5 | best=339.799248 | time=6.693s
[2026-03-22 17:49:22] DONE: Scene 2 | PSO | run 6 | best=913.302328 | time=6.722s
[2026-03-22 17:49:28] DONE: Scene 2 | PSO | run 7 | best=960.217658 | time=6.684s
[2026-03-22 17:49:35] DONE: Scene 2 | PSO | run 8 | best=1105.743263 | time=6.775s
[2026-03-22 17:49:42] DONE: Scene 2 | PSO | run 9 | best=1542.818498 | time=6.718s
[2026-03-22 17:49:49] DONE: Scene 2 | PSO | run 10 | best=934.895766 | time=6.676s
[2026-03-22 17:49:56] DONE: Scene 2 | PSO | run 11 | best=377.220932 | time=6.690s
[2026-03-22 17:50:03] DONE: Scene 2 | PSO | run 12 | best=299.399840 | time=6.698s
[2026-03-22 17:50:10] DONE: Scene 2 | PSO | run 13 | best=437.057646 | time=6.715s
[2026-03-22 17:50:16] DONE: Scene 2 | PSO | run 14 | best=949.167418 | time=6.779s
[2026-03-22 17:50:23] DONE: Scene 2 | PSO | run 15 | best=351.027457 | time=6.771s
[2026-03-22 17:50:30] DONE: Scene 2 | PSO | run 16 | best=300.605230 | time=6.705s
[2026-03-22 17:50:37] DONE: Scene 2 | PSO | run 17 | best=303.978583 | time=6.691s
[2026-03-22 17:50:44] DONE: Scene 2 | PSO | run 18 | best=1805.277537 | time=6.706s
[2026-03-22 17:50:51] DONE: Scene 2 | PSO | run 19 | best=351.619043 | time=6.663s
[2026-03-22 17:50:58] DONE: Scene 2 | PSO | run 20 | best=325.335688 | time=6.758s
