[2026-03-16 16:31:17] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_6alg_formal_safe\uav_comparison_results.mat
[2026-03-16 17:14:30] DONE: Scene 1 | FAEAE | run 21 | best=293.989327 | time=67.665s
[2026-03-16 17:15:38] DONE: Scene 1 | FAEAE | run 22 | best=296.112501 | time=68.120s
[2026-03-16 17:16:46] DONE: Scene 1 | FAEAE | run 23 | best=295.363754 | time=67.865s
[2026-03-16 17:17:54] DONE: Scene 1 | FAEAE | run 24 | best=302.784915 | time=68.447s
[2026-03-16 17:19:03] DONE: Scene 1 | FAEAE | run 25 | best=297.575498 | time=67.983s
[2026-03-16 17:20:10] DONE: Scene 1 | FAEAE | run 26 | best=325.118794 | time=67.702s
[2026-03-16 17:21:18] DONE: Scene 1 | FAEAE | run 27 | best=308.084962 | time=67.524s
[2026-03-16 17:22:26] DONE: Scene 1 | FAEAE | run 28 | best=301.333114 | time=68.030s
[2026-03-16 17:23:35] DONE: Scene 1 | FAEAE | run 29 | best=300.207068 | time=68.459s
[2026-03-16 17:24:43] DONE: Scene 1 | FAEAE | run 30 | best=292.850824 | time=68.530s
[2026-03-16 17:24:43] Block finished: Scene 1 | FAEAE | done=30 | failed=0
[2026-03-16 17:24:43] Entering block: Scene 2 | AE
[2026-03-16 17:24:50] DONE: Scene 2 | AE | run 1 | best=2649.545729 | time=6.848s
[2026-03-16 17:24:57] DONE: Scene 2 | AE | run 2 | best=2163.804906 | time=6.867s
[2026-03-16 17:25:04] DONE: Scene 2 | AE | run 3 | best=1218.582202 | time=6.976s
[2026-03-16 17:25:11] DONE: Scene 2 | AE | run 4 | best=2337.237283 | time=6.889s
[2026-03-16 17:25:18] DONE: Scene 2 | AE | run 5 | best=2479.077700 | time=6.854s
[2026-03-16 17:25:25] DONE: Scene 2 | AE | run 6 | best=2216.601052 | time=6.936s
[2026-03-16 17:25:32] DONE: Scene 2 | AE | run 7 | best=1371.802926 | time=6.909s
[2026-03-16 17:25:40] DONE: Scene 2 | AE | run 8 | best=2266.060541 | time=6.979s
[2026-03-16 17:25:47] DONE: Scene 2 | AE | run 9 | best=1352.826220 | time=6.838s
[2026-03-16 17:25:54] DONE: Scene 2 | AE | run 10 | best=2306.832194 | time=6.892s
[2026-03-16 17:26:01] DONE: Scene 2 | AE | run 11 | best=2315.449874 | time=6.968s
[2026-03-16 17:26:08] DONE: Scene 2 | AE | run 12 | best=2147.900537 | time=6.903s
[2026-03-16 17:26:15] DONE: Scene 2 | AE | run 13 | best=2467.747180 | time=6.853s
[2026-03-16 17:26:22] DONE: Scene 2 | AE | run 14 | best=1930.078363 | time=6.870s
[2026-03-16 17:26:29] DONE: Scene 2 | AE | run 15 | best=3027.646411 | time=6.865s
[2026-03-16 17:26:36] DONE: Scene 2 | AE | run 16 | best=2622.466664 | time=6.921s
[2026-03-16 17:26:43] DONE: Scene 2 | AE | run 17 | best=2976.403502 | time=6.857s
[2026-03-16 17:26:50] DONE: Scene 2 | AE | run 18 | best=2180.460317 | time=6.851s
[2026-03-16 17:26:57] DONE: Scene 2 | AE | run 19 | best=414.136987 | time=6.858s
[2026-03-16 17:27:04] DONE: Scene 2 | AE | run 20 | best=2284.605031 | time=6.858s
[2026-03-16 17:27:11] DONE: Scene 2 | AE | run 21 | best=2397.476221 | time=6.884s
[2026-03-16 17:27:18] DONE: Scene 2 | AE | run 22 | best=2785.429635 | time=6.868s
[2026-03-16 17:27:25] DONE: Scene 2 | AE | run 23 | best=332.130993 | time=6.868s
[2026-03-16 17:27:32] DONE: Scene 2 | AE | run 24 | best=2165.408081 | time=6.963s
[2026-03-16 17:27:39] DONE: Scene 2 | AE | run 25 | best=1325.246253 | time=6.964s
[2026-03-16 17:27:46] DONE: Scene 2 | AE | run 26 | best=1440.723297 | time=6.859s
[2026-03-16 17:27:53] DONE: Scene 2 | AE | run 27 | best=730.048185 | time=6.887s
[2026-03-16 17:28:00] DONE: Scene 2 | AE | run 28 | best=2272.594553 | time=6.901s
[2026-03-16 17:28:07] DONE: Scene 2 | AE | run 29 | best=2099.501494 | time=6.924s
[2026-03-16 17:28:14] DONE: Scene 2 | AE | run 30 | best=2805.952668 | time=6.858s
[2026-03-16 17:28:14] Block finished: Scene 2 | AE | done=30 | failed=0
[2026-03-16 17:28:14] Entering block: Scene 2 | PSO
[2026-03-16 17:28:21] DONE: Scene 2 | PSO | run 1 | best=316.052241 | time=6.771s
[2026-03-16 17:28:28] DONE: Scene 2 | PSO | run 2 | best=910.641783 | time=6.785s
[2026-03-16 17:28:34] DONE: Scene 2 | PSO | run 3 | best=397.922544 | time=6.764s
[2026-03-16 17:28:41] DONE: Scene 2 | PSO | run 4 | best=307.809402 | time=6.797s
[2026-03-16 17:28:48] DONE: Scene 2 | PSO | run 5 | best=415.183135 | time=6.893s
[2026-03-16 17:28:55] DONE: Scene 2 | PSO | run 6 | best=1125.312696 | time=6.778s
[2026-03-16 17:29:02] DONE: Scene 2 | PSO | run 7 | best=346.465241 | time=6.776s
[2026-03-16 17:29:09] DONE: Scene 2 | PSO | run 8 | best=299.929532 | time=6.812s
[2026-03-16 17:29:16] DONE: Scene 2 | PSO | run 9 | best=1034.414914 | time=6.843s
[2026-03-16 17:29:23] DONE: Scene 2 | PSO | run 10 | best=370.086450 | time=6.781s
[2026-03-16 17:29:30] DONE: Scene 2 | PSO | run 11 | best=721.646865 | time=6.809s
[2026-03-16 17:29:37] DONE: Scene 2 | PSO | run 12 | best=1202.491568 | time=6.806s
[2026-03-16 17:29:44] DONE: Scene 2 | PSO | run 13 | best=327.953201 | time=6.915s
[2026-03-16 17:29:51] DONE: Scene 2 | PSO | run 14 | best=343.830355 | time=6.785s
[2026-03-16 17:29:58] DONE: Scene 2 | PSO | run 15 | best=739.735506 | time=6.895s
[2026-03-16 17:30:05] DONE: Scene 2 | PSO | run 16 | best=1807.107059 | time=6.767s
[2026-03-16 17:30:12] DONE: Scene 2 | PSO | run 17 | best=987.179331 | time=6.782s
[2026-03-16 17:30:19] DONE: Scene 2 | PSO | run 18 | best=471.368629 | time=6.768s
[2026-03-16 17:30:26] DONE: Scene 2 | PSO | run 19 | best=330.491516 | time=6.795s
[2026-03-16 17:30:33] DONE: Scene 2 | PSO | run 20 | best=1789.199774 | time=6.781s
[2026-03-16 17:30:40] DONE: Scene 2 | PSO | run 21 | best=359.608434 | time=6.796s
[2026-03-16 17:30:46] DONE: Scene 2 | PSO | run 22 | best=316.576630 | time=6.776s
[2026-03-16 17:30:53] DONE: Scene 2 | PSO | run 23 | best=334.493557 | time=6.833s
[2026-03-16 17:31:00] DONE: Scene 2 | PSO | run 24 | best=411.923790 | time=6.757s
[2026-03-16 17:31:07] DONE: Scene 2 | PSO | run 25 | best=365.649651 | time=6.810s
[2026-03-16 17:31:14] DONE: Scene 2 | PSO | run 26 | best=304.352582 | time=6.791s
[2026-03-16 17:31:21] DONE: Scene 2 | PSO | run 27 | best=339.458351 | time=6.906s
[2026-03-16 17:31:28] DONE: Scene 2 | PSO | run 28 | best=1920.963764 | time=6.801s
[2026-03-16 17:31:35] DONE: Scene 2 | PSO | run 29 | best=1939.948068 | time=6.826s
[2026-03-16 17:31:42] DONE: Scene 2 | PSO | run 30 | best=1417.268159 | time=6.835s
[2026-03-16 17:31:42] Block finished: Scene 2 | PSO | done=30 | failed=0
[2026-03-16 17:31:42] Entering block: Scene 2 | GWO
[2026-03-16 17:31:49] DONE: Scene 2 | GWO | run 1 | best=309.068093 | time=7.070s
[2026-03-16 17:31:56] DONE: Scene 2 | GWO | run 2 | best=330.139721 | time=7.012s
[2026-03-16 17:32:04] DONE: Scene 2 | GWO | run 3 | best=380.031209 | time=7.070s
[2026-03-16 17:32:11] DONE: Scene 2 | GWO | run 4 | best=408.891726 | time=7.025s
[2026-03-16 17:32:18] DONE: Scene 2 | GWO | run 5 | best=351.849127 | time=6.986s
[2026-03-16 17:32:25] DONE: Scene 2 | GWO | run 6 | best=337.811548 | time=6.976s
[2026-03-16 17:32:32] DONE: Scene 2 | GWO | run 7 | best=340.691308 | time=7.068s
[2026-03-16 17:32:39] DONE: Scene 2 | GWO | run 8 | best=421.611458 | time=6.958s
[2026-03-16 17:32:47] DONE: Scene 2 | GWO | run 9 | best=332.047195 | time=6.988s
[2026-03-16 17:32:54] DONE: Scene 2 | GWO | run 10 | best=408.842592 | time=6.964s
[2026-03-16 17:33:01] DONE: Scene 2 | GWO | run 11 | best=415.050050 | time=7.008s
[2026-03-16 17:33:08] DONE: Scene 2 | GWO | run 12 | best=383.337504 | time=7.067s
[2026-03-16 17:33:15] DONE: Scene 2 | GWO | run 13 | best=397.932837 | time=7.053s
[2026-03-16 17:33:22] DONE: Scene 2 | GWO | run 14 | best=330.178521 | time=6.980s
[2026-03-16 17:33:29] DONE: Scene 2 | GWO | run 15 | best=380.738819 | time=6.970s
[2026-03-16 17:33:37] DONE: Scene 2 | GWO | run 16 | best=392.939240 | time=6.966s
[2026-03-16 17:33:44] DONE: Scene 2 | GWO | run 17 | best=396.930321 | time=7.115s
[2026-03-16 17:33:51] DONE: Scene 2 | GWO | run 18 | best=322.716903 | time=6.968s
[2026-03-16 17:33:58] DONE: Scene 2 | GWO | run 19 | best=313.632636 | time=7.058s
[2026-03-16 17:34:06] DONE: Scene 2 | GWO | run 20 | best=329.071824 | time=7.544s
[2026-03-16 17:34:13] DONE: Scene 2 | GWO | run 21 | best=328.829821 | time=7.336s
[2026-03-16 17:34:21] DONE: Scene 2 | GWO | run 22 | best=380.344351 | time=6.987s
[2026-03-16 17:34:28] DONE: Scene 2 | GWO | run 23 | best=330.292351 | time=6.983s
