[2026-03-16 21:09:28] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_scene4_formal_rerun\uav_comparison_results.mat
[2026-03-16 21:53:28] DONE: Scene 4 | FAEAE | run 14 | best=316.788913 | time=105.274s
[2026-03-16 21:55:18] DONE: Scene 4 | FAEAE | run 15 | best=312.946436 | time=110.020s
[2026-03-16 21:56:57] DONE: Scene 4 | FAEAE | run 16 | best=314.210680 | time=98.473s
[2026-03-16 21:58:41] DONE: Scene 4 | FAEAE | run 17 | best=313.446427 | time=104.303s
[2026-03-16 22:00:22] DONE: Scene 4 | FAEAE | run 18 | best=316.067223 | time=101.048s
[2026-03-16 22:02:08] DONE: Scene 4 | FAEAE | run 19 | best=317.486369 | time=105.063s
[2026-03-16 22:03:43] DONE: Scene 4 | FAEAE | run 20 | best=316.193086 | time=95.426s
[2026-03-16 22:05:32] DONE: Scene 4 | FAEAE | run 21 | best=313.274633 | time=108.899s
[2026-03-16 22:07:17] DONE: Scene 4 | FAEAE | run 22 | best=315.905968 | time=104.705s
[2026-03-16 22:08:53] DONE: Scene 4 | FAEAE | run 23 | best=318.075673 | time=95.692s
[2026-03-16 22:10:37] DONE: Scene 4 | FAEAE | run 24 | best=314.279264 | time=104.065s
[2026-03-16 22:12:13] DONE: Scene 4 | FAEAE | run 25 | best=352.946648 | time=95.811s
[2026-03-16 22:13:48] DONE: Scene 4 | FAEAE | run 26 | best=315.904629 | time=95.450s
[2026-03-16 22:15:29] DONE: Scene 4 | FAEAE | run 27 | best=314.121628 | time=100.439s
[2026-03-16 22:17:05] DONE: Scene 4 | FAEAE | run 28 | best=314.927645 | time=95.787s
[2026-03-16 22:18:54] DONE: Scene 4 | FAEAE | run 29 | best=316.295028 | time=109.145s
[2026-03-16 22:20:38] DONE: Scene 4 | FAEAE | run 30 | best=313.561505 | time=104.035s
[2026-03-16 22:20:38] Block finished: Scene 4 | FAEAE | done=30 | failed=0
[2026-03-16 22:20:38] Batch finished | done=180 | failed=0 | pending=0 | elapsed=4270.02s
